x,y,path
8.83109,5.72815,56
6.88996,6.20982,56
6.83758,4.21051,56
5,5,56
4.94863,16.4989,57
2.99926,16.0518,57
3.95235,14.2935,57
2.15761,13.4109,57
2.66634,11.4767,57
2.09181,9.56098,57
1.93345,7.56726,57
3.44312,6.25543,57
5,5,57
4.0225,18.2716,58
4.94863,16.4989,58
2.99926,16.0518,58
3.95235,14.2935,58
2.15761,13.4109,58
2.66634,11.4767,58
2.09181,9.56098,58
1.93345,7.56726,58
3.44312,6.25543,58
5,5,58
4.90335,20.0672,59
4.0225,18.2716,59
4.94863,16.4989,59
2.99926,16.0518,59
3.95235,14.2935,59
2.15761,13.4109,59
2.66634,11.4767,59
2.09181,9.56098,59
1.93345,7.56726,59
3.44312,6.25543,59
5,5,59
6.3001,21.4986,60
4.90335,20.0672,60
4.0225,18.2716,60
4.94863,16.4989,60
2.99926,16.0518,60
3.95235,14.2935,60
2.15761,13.4109,60
2.66634,11.4767,60
2.09181,9.56098,60
1.93345,7.56726,60
3.44312,6.25543,60
5,5,60
16.9755,2.62003,61
15.3399,1.4691,61
13.6266,2.501,61
12.3038,4.00109,61
10.3496,4.4266,61
8.83109,5.72815,61
6.88996,6.20982,61
6.83758,4.21051,61
5,5,61
6.3001,21.4986,62
4.90335,20.0672,62
4.0225,18.2716,62
4.94863,16.4989,62
2.99926,16.0518,62
3.95235,14.2935,62
2.15761,13.4109,62
2.66634,11.4767,62
2.09181,9.56098,62
1.93345,7.56726,62
3.44312,6.25543,62
5,5,62
6.3001,21.4986,63
4.90335,20.0672,63
4.0225,18.2716,63
4.94863,16.4989,63
2.99926,16.0518,63
3.95235,14.2935,63
2.15761,13.4109,63
2.66634,11.4767,63
2.09181,9.56098,63
1.93345,7.56726,63
3.44312,6.25543,63
5,5,63
8.03141,22.4999,64
6.3001,21.4986,64
4.90335,20.0672,64
4.0225,18.2716,64
4.94863,16.4989,64
2.99926,16.0518,64
3.95235,14.2935,64
2.15761,13.4109,64
2.66634,11.4767,64
2.09181,9.56098,64
1.93345,7.56726,64
3.44312,6.25543,64
5,5,64
16.9755,2.62003,65
15.3399,1.4691,65
13.6266,2.501,65
12.3038,4.00109,65
10.3496,4.4266,65
8.83109,5.72815,65
6.88996,6.20982,65
6.83758,4.21051,65
5,5,65
8.03141,22.4999,66
6.3001,21.4986,66
4.90335,20.0672,66
4.0225,18.2716,66
4.94863,16.4989,66
2.99926,16.0518,66
3.95235,14.2935,66
2.15761,13.4109,66
2.66634,11.4767,66
2.09181,9.56098,66
1.93345,7.56726,66
3.44312,6.25543,66
5,5,66
10.0019,22.8425,67
8.03141,22.4999,67
6.3001,21.4986,67
4.90335,20.0672,67
4.0225,18.2716,67
4.94863,16.4989,67
2.99926,16.0518,67
3.95235,14.2935,67
2.15761,13.4109,67
2.66634,11.4767,67
2.09181,9.56098,67
1.93345,7.56726,67
3.44312,6.25543,67
5,5,67
16.9755,2.62003,68
15.3399,1.4691,68
13.6266,2.501,68
12.3038,4.00109,68
10.3496,4.4266,68
8.83109,5.72815,68
6.88996,6.20982,68
6.83758,4.21051,68
5,5,68
9.97917,24.8424,69
10.0019,22.8425,69
8.03141,22.4999,69
6.3001,21.4986,69
4.90335,20.0672,69
4.0225,18.2716,69
4.94863,16.4989,69
2.99926,16.0518,69
3.95235,14.2935,69
2.15761,13.4109,69
2.66634,11.4767,69
2.09181,9.56098,69
1.93345,7.56726,69
3.44312,6.25543,69
5,5,69
10.9296,26.6021,70
9.97917,24.8424,70
10.0019,22.8425,70
8.03141,22.4999,70
6.3001,21.4986,70
4.90335,20.0672,70
4.0225,18.2716,70
4.94863,16.4989,70
2.99926,16.0518,70
3.95235,14.2935,70
2.15761,13.4109,70
2.66634,11.4767,70
2.09181,9.56098,70
1.93345,7.56726,70
3.44312,6.25543,70
5,5,70
10.9296,26.6021,71
9.97917,24.8424,71
10.0019,22.8425,71
8.03141,22.4999,71
6.3001,21.4986,71
4.90335,20.0672,71
4.0225,18.2716,71
4.94863,16.4989,71
2.99926,16.0518,71
3.95235,14.2935,71
2.15761,13.4109,71
2.66634,11.4767,71
2.09181,9.56098,71
1.93345,7.56726,71
3.44312,6.25543,71
5,5,71
12.8613,27.1201,72
10.9296,26.6021,72
9.97917,24.8424,72
10.0019,22.8425,72
8.03141,22.4999,72
6.3001,21.4986,72
4.90335,20.0672,72
4.0225,18.2716,72
4.94863,16.4989,72
2.99926,16.0518,72
3.95235,14.2935,72
2.15761,13.4109,72
2.66634,11.4767,72
2.09181,9.56098,72
1.93345,7.56726,72
3.44312,6.25543,72
5,5,72
16.9755,2.62003,73
15.3399,1.4691,73
13.6266,2.501,73
12.3038,4.00109,73
10.3496,4.4266,73
8.83109,5.72815,73
6.88996,6.20982,73
6.83758,4.21051,73
5,5,73
12.8613,27.1201,74
10.9296,26.6021,74
9.97917,24.8424,74
10.0019,22.8425,74
8.03141,22.4999,74
6.3001,21.4986,74
4.90335,20.0672,74
4.0225,18.2716,74
4.94863,16.4989,74
2.99926,16.0518,74
3.95235,14.2935,74
2.15761,13.4109,74
2.66634,11.4767,74
2.09181,9.56098,74
1.93345,7.56726,74
3.44312,6.25543,74
5,5,74
12.8613,27.1201,75
10.9296,26.6021,75
9.97917,24.8424,75
10.0019,22.8425,75
8.03141,22.4999,75
6.3001,21.4986,75
4.90335,20.0672,75
4.0225,18.2716,75
4.94863,16.4989,75
2.99926,16.0518,75
3.95235,14.2935,75
2.15761,13.4109,75
2.66634,11.4767,75
2.09181,9.56098,75
1.93345,7.56726,75
3.44312,6.25543,75
5,5,75
18.0629,4.29858,76
16.9755,2.62003,76
15.3399,1.4691,76
13.6266,2.501,76
12.3038,4.00109,76
10.3496,4.4266,76
8.83109,5.72815,76
6.88996,6.20982,76
6.83758,4.21051,76
5,5,76
12.8613,27.1201,77
10.9296,26.6021,77
9.97917,24.8424,77
10.0019,22.8425,77
8.03141,22.4999,77
6.3001,21.4986,77
4.90335,20.0672,77
4.0225,18.2716,77
4.94863,16.4989,77
2.99926,16.0518,77
3.95235,14.2935,77
2.15761,13.4109,77
2.66634,11.4767,77
2.09181,9.56098,77
1.93345,7.56726,77
3.44312,6.25543,77
5,5,77
14.1142,28.6791,78
12.8613,27.1201,78
10.9296,26.6021,78
9.97917,24.8424,78
10.0019,22.8425,78
8.03141,22.4999,78
6.3001,21.4986,78
4.90335,20.0672,78
4.0225,18.2716,78
4.94863,16.4989,78
2.99926,16.0518,78
3.95235,14.2935,78
2.15761,13.4109,78
2.66634,11.4767,78
2.09181,9.56098,78
1.93345,7.56726,78
3.44312,6.25543,78
5,5,78
18.0629,4.29858,79
16.9755,2.62003,79
15.3399,1.4691,79
13.6266,2.501,79
12.3038,4.00109,79
10.3496,4.4266,79
8.83109,5.72815,79
6.88996,6.20982,79
6.83758,4.21051,79
5,5,79
11.1332,28.1268,80
12.8613,27.1201,80
10.9296,26.6021,80
9.97917,24.8424,80
10.0019,22.8425,80
8.03141,22.4999,80
6.3001,21.4986,80
4.90335,20.0672,80
4.0225,18.2716,80
4.94863,16.4989,80
2.99926,16.0518,80
3.95235,14.2935,80
2.15761,13.4109,80
2.66634,11.4767,80
2.09181,9.56098,80
1.93345,7.56726,80
3.44312,6.25543,80
5,5,80
18.0629,4.29858,81
16.9755,2.62003,81
15.3399,1.4691,81
13.6266,2.501,81
12.3038,4.00109,81
10.3496,4.4266,81
8.83109,5.72815,81
6.88996,6.20982,81
6.83758,4.21051,81
5,5,81
3.44312,6.25543,82
5,5,82
16.1118,28.7759,83
14.1142,28.6791,83
12.8613,27.1201,83
10.9296,26.6021,83
9.97917,24.8424,83
10.0019,22.8425,83
8.03141,22.4999,83
6.3001,21.4986,83
4.90335,20.0672,83
4.0225,18.2716,83
4.94863,16.4989,83
2.99926,16.0518,83
3.95235,14.2935,83
2.15761,13.4109,83
2.66634,11.4767,83
2.09181,9.56098,83
1.93345,7.56726,83
3.44312,6.25543,83
5,5,83
18.4944,6.25148,84
18.0629,4.29858,84
16.9755,2.62003,84
15.3399,1.4691,84
13.6266,2.501,84
12.3038,4.00109,84
10.3496,4.4266,84
8.83109,5.72815,84
6.88996,6.20982,84
6.83758,4.21051,84
5,5,84
16.1118,28.7759,85
14.1142,28.6791,85
12.8613,27.1201,85
10.9296,26.6021,85
9.97917,24.8424,85
10.0019,22.8425,85
8.03141,22.4999,85
6.3001,21.4986,85
4.90335,20.0672,85
4.0225,18.2716,85
4.94863,16.4989,85
2.99926,16.0518,85
3.95235,14.2935,85
2.15761,13.4109,85
2.66634,11.4767,85
2.09181,9.56098,85
1.93345,7.56726,85
3.44312,6.25543,85
5,5,85
16.1118,28.7759,86
14.1142,28.6791,86
12.8613,27.1201,86
10.9296,26.6021,86
9.97917,24.8424,86
10.0019,22.8425,86
8.03141,22.4999,86
6.3001,21.4986,86
4.90335,20.0672,86
4.0225,18.2716,86
4.94863,16.4989,86
2.99926,16.0518,86
3.95235,14.2935,86
2.15761,13.4109,86
2.66634,11.4767,86
2.09181,9.56098,86
1.93345,7.56726,86
3.44312,6.25543,86
5,5,86
18.0006,29.4336,87
16.1118,28.7759,87
14.1142,28.6791,87
12.8613,27.1201,87
10.9296,26.6021,87
9.97917,24.8424,87
10.0019,22.8425,87
8.03141,22.4999,87
6.3001,21.4986,87
4.90335,20.0672,87
4.0225,18.2716,87
4.94863,16.4989,87
2.99926,16.0518,87
3.95235,14.2935,87
2.15761,13.4109,87
2.66634,11.4767,87
2.09181,9.56098,87
1.93345,7.56726,87
3.44312,6.25543,87
5,5,87
19.9424,28.9547,88
18.0006,29.4336,88
16.1118,28.7759,88
14.1142,28.6791,88
12.8613,27.1201,88
10.9296,26.6021,88
9.97917,24.8424,88
10.0019,22.8425,88
8.03141,22.4999,88
6.3001,21.4986,88
4.90335,20.0672,88
4.0225,18.2716,88
4.94863,16.4989,88
2.99926,16.0518,88
3.95235,14.2935,88
2.15761,13.4109,88
2.66634,11.4767,88
2.09181,9.56098,88
1.93345,7.56726,88
3.44312,6.25543,88
5,5,88
21.7685,28.1389,89
19.9424,28.9547,89
18.0006,29.4336,89
16.1118,28.7759,89
14.1142,28.6791,89
12.8613,27.1201,89
10.9296,26.6021,89
9.97917,24.8424,89
10.0019,22.8425,89
8.03141,22.4999,89
6.3001,21.4986,89
4.90335,20.0672,89
4.0225,18.2716,89
4.94863,16.4989,89
2.99926,16.0518,89
3.95235,14.2935,89
2.15761,13.4109,89
2.66634,11.4767,89
2.09181,9.56098,89
1.93345,7.56726,89
3.44312,6.25543,89
5,5,89
19.819,7.74997,90
18.4944,6.25148,90
18.0629,4.29858,90
16.9755,2.62003,90
15.3399,1.4691,90
13.6266,2.501,90
12.3038,4.00109,90
10.3496,4.4266,90
8.83109,5.72815,90
6.88996,6.20982,90
6.83758,4.21051,90
5,5,90
21.7685,28.1389,91
19.9424,28.9547,91
18.0006,29.4336,91
16.1118,28.7759,91
14.1142,28.6791,91
12.8613,27.1201,91
10.9296,26.6021,91
9.97917,24.8424,91
10.0019,22.8425,91
8.03141,22.4999,91
6.3001,21.4986,91
4.90335,20.0672,91
4.0225,18.2716,91
4.94863,16.4989,91
2.99926,16.0518,91
3.95235,14.2935,91
2.15761,13.4109,91
2.66634,11.4767,91
2.09181,9.56098,91
1.93345,7.56726,91
3.44312,6.25543,91
5,5,91
23.7005,27.6221,92
21.7685,28.1389,92
19.9424,28.9547,92
18.0006,29.4336,92
16.1118,28.7759,92
14.1142,28.6791,92
12.8613,27.1201,92
10.9296,26.6021,92
9.97917,24.8424,92
10.0019,22.8425,92
8.03141,22.4999,92
6.3001,21.4986,92
4.90335,20.0672,92
4.0225,18.2716,92
4.94863,16.4989,92
2.99926,16.0518,92
3.95235,14.2935,92
2.15761,13.4109,92
2.66634,11.4767,92
2.09181,9.56098,92
1.93345,7.56726,92
3.44312,6.25543,92
5,5,92
23.7005,27.6221,93
21.7685,28.1389,93
19.9424,28.9547,93
18.0006,29.4336,93
16.1118,28.7759,93
14.1142,28.6791,93
12.8613,27.1201,93
10.9296,26.6021,93
9.97917,24.8424,93
10.0019,22.8425,93
8.03141,22.4999,93
6.3001,21.4986,93
4.90335,20.0672,93
4.0225,18.2716,93
4.94863,16.4989,93
2.99926,16.0518,93
3.95235,14.2935,93
2.15761,13.4109,93
2.66634,11.4767,93
2.09181,9.56098,93
1.93345,7.56726,93
3.44312,6.25543,93
5,5,93
20.6398,29.79,94
21.7685,28.1389,94
19.9424,28.9547,94
18.0006,29.4336,94
16.1118,28.7759,94
14.1142,28.6791,94
12.8613,27.1201,94
10.9296,26.6021,94
9.97917,24.8424,94
10.0019,22.8425,94
8.03141,22.4999,94
6.3001,21.4986,94
4.90335,20.0672,94
4.0225,18.2716,94
4.94863,16.4989,94
2.99926,16.0518,94
3.95235,14.2935,94
2.15761,13.4109,94
2.66634,11.4767,94
2.09181,9.56098,94
1.93345,7.56726,94
3.44312,6.25543,94
5,5,94
23.7005,27.6221,95
21.7685,28.1389,95
19.9424,28.9547,95
18.0006,29.4336,95
16.1118,28.7759,95
14.1142,28.6791,95
12.8613,27.1201,95
10.9296,26.6021,95
9.97917,24.8424,95
10.0019,22.8425,95
8.03141,22.4999,95
6.3001,21.4986,95
4.90335,20.0672,95
4.0225,18.2716,95
4.94863,16.4989,95
2.99926,16.0518,95
3.95235,14.2935,95
2.15761,13.4109,95
2.66634,11.4767,95
2.09181,9.56098,95
1.93345,7.56726,95
3.44312,6.25543,95
5,5,95
23.7005,27.6221,96
21.7685,28.1389,96
19.9424,28.9547,96
18.0006,29.4336,96
16.1118,28.7759,96
14.1142,28.6791,96
12.8613,27.1201,96
10.9296,26.6021,96
9.97917,24.8424,96
10.0019,22.8425,96
8.03141,22.4999,96
6.3001,21.4986,96
4.90335,20.0672,96
4.0225,18.2716,96
4.94863,16.4989,96
2.99926,16.0518,96
3.95235,14.2935,96
2.15761,13.4109,96
2.66634,11.4767,96
2.09181,9.56098,96
1.93345,7.56726,96
3.44312,6.25543,96
5,5,96
12.0733,29.8921,97
11.1332,28.1268,97
12.8613,27.1201,97
10.9296,26.6021,97
9.97917,24.8424,97
10.0019,22.8425,97
8.03141,22.4999,97
6.3001,21.4986,97
4.90335,20.0672,97
4.0225,18.2716,97
4.94863,16.4989,97
2.99926,16.0518,97
3.95235,14.2935,97
2.15761,13.4109,97
2.66634,11.4767,97
2.09181,9.56098,97
1.93345,7.56726,97
3.44312,6.25543,97
5,5,97
20.6398,29.79,98
21.7685,28.1389,98
19.9424,28.9547,98
18.0006,29.4336,98
16.1118,28.7759,98
14.1142,28.6791,98
12.8613,27.1201,98
10.9296,26.6021,98
9.97917,24.8424,98
10.0019,22.8425,98
8.03141,22.4999,98
6.3001,21.4986,98
4.90335,20.0672,98
4.0225,18.2716,98
4.94863,16.4989,98
2.99926,16.0518,98
3.95235,14.2935,98
2.15761,13.4109,98
2.66634,11.4767,98
2.09181,9.56098,98
1.93345,7.56726,98
3.44312,6.25543,98
5,5,98
24.1315,25.6691,99
23.7005,27.6221,99
21.7685,28.1389,99
19.9424,28.9547,99
18.0006,29.4336,99
16.1118,28.7759,99
14.1142,28.6791,99
12.8613,27.1201,99
10.9296,26.6021,99
9.97917,24.8424,99
10.0019,22.8425,99
8.03141,22.4999,99
6.3001,21.4986,99
4.90335,20.0672,99
4.0225,18.2716,99
4.94863,16.4989,99
2.99926,16.0518,99
3.95235,14.2935,99
2.15761,13.4109,99
2.66634,11.4767,99
2.09181,9.56098,99
1.93345,7.56726,99
3.44312,6.25543,99
5,5,99
19.0412,30.9918,100
20.6398,29.79,100
21.7685,28.1389,100
19.9424,28.9547,100
18.0006,29.4336,100
16.1118,28.7759,100
14.1142,28.6791,100
12.8613,27.1201,100
10.9296,26.6021,100
9.97917,24.8424,100
10.0019,22.8425,100
8.03141,22.4999,100
6.3001,21.4986,100
4.90335,20.0672,100
4.0225,18.2716,100
4.94863,16.4989,100
2.99926,16.0518,100
3.95235,14.2935,100
2.15761,13.4109,100
2.66634,11.4767,100
2.09181,9.56098,100
1.93345,7.56726,100
3.44312,6.25543,100
5,5,100
20.6398,29.79,101
21.7685,28.1389,101
19.9424,28.9547,101
18.0006,29.4336,101
16.1118,28.7759,101
14.1142,28.6791,101
12.8613,27.1201,101
10.9296,26.6021,101
9.97917,24.8424,101
10.0019,22.8425,101
8.03141,22.4999,101
6.3001,21.4986,101
4.90335,20.0672,101
4.0225,18.2716,101
4.94863,16.4989,101
2.99926,16.0518,101
3.95235,14.2935,101
2.15761,13.4109,101
2.66634,11.4767,101
2.09181,9.56098,101
1.93345,7.56726,101
